Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
0,0,0,0,0,어린이,0,34,25,38,25,20,22,22,23,22,24,26,26,27,27,32,32,32,29,27,0,0,0,0
0,0,0,0,0,외국인,0,0,26,31,32,34,32,36,31,35,32,36,38,33,35,34,38,38,36,22,0,0,0,0
0,0,0,0,0,일반인,45,43,36,34,31,30,32,33,34,34,35,37,38,37,36,38,41,42,42,36,32,31,34,29
0,0,0,0,0,장애인,47,38,33,98,31,33,30,30,31,33,35,37,36,36,37,35,37,38,35,28,30,44,30,36
0,0,0,0,0,청소년,20,74,29,35,21,20,24,27,27,26,28,32,33,32,33,36,38,38,35,27,19,18,8,0
0,0,0,2023-12-10(일),맑음,경로,55,38,34,33,33,32,31,30,30,32,34,41,33,33,32,34,35,36,35,26,23,29,41,37
0,0,0,0,0,국가유공자,0,25,27,43,26,26,28,28,31,27,30,25,25,30,30,25,21,26,23,23,19,0,0,0
0,0,0,0,0,어린이,0,60,17,30,31,27,23,24,23,26,28,28,28,28,27,28,31,23,24,21,10,0,0,0
0,0,0,0,0,외국인,0,75,0,68,35,33,37,35,41,33,33,28,34,34,31,47,28,42,44,27,0,0,0,0
0,0,0,0,0,일반인,49,45,36,34,31,29,29,30,30,31,33,34,35,35,35,37,39,39,38,34,31,33,35,31
0,0,0,0,0,장애인,76,53,35,30,33,35,29,32,32,32,33,34,33,32,32,33,34,33,32,30,33,40,31,4
0,0,0,0,0,청소년,30,31,28,27,19,18,24,24,24,23,27,27,28,27,33,32,36,32,30,24,18,41,35,11
0,0,0,2023-12-11(월),강우,경로,37,35,34,31,29,28,28,28,31,29,33,35,36,34,36,36,36,36,34,30,26,36,38,27
0,0,0,0,0,국가유공자,36,32,28,31,24,25,28,26,23,24,28,28,33,30,33,30,30,28,33,27,15,0,48,0
0,0,0,0,0,어린이,0,4,38,21,10,21,25,22,25,17,14,15,16,17,15,17,17,16,16,28,14,0,0,0
0,0,0,0,0,외국인,0,0,0,33,36,46,24,22,28,30,35,36,29,37,34,34,26,34,41,21,22,0,0,0
0,0,0,0,0,일반인,41,37,35,34,28,27,30,31,32,32,34,37,40,43,43,41,40,40,39,35,29,35,37,31
0,0,0,0,0,장애인,37,61,29,29,28,26,28,29,29,30,32,34,35,36,36,34,36,35,34,32,31,52,46,41
0,0,0,0,0,청소년,36,41,30,15,18,20,19,20,21,22,24,22,26,27,31,27,30,29,29,26,19,11,0,0
0,0,0,2023-12-12(화),맑음,경로,43,36,33,30,29,28,28,28,29,30,32,34,35,34,35,35,36,37,34,31,25,62,49,30
0,0,0,0,0,국가유공자,0,30,24,32,21,25,26,26,22,32,33,31,32,31,36,28,32,31,18,29,15,0,0,35
0,0,0,0,0,어린이,0,49,34,24,9,19,29,23,27,19,12,14,15,15,15,15,19,15,15,11,13,0,0,0
0,0,0,0,0,외국인,0,0,0,21,34,20,26,29,30,36,42,32,31,37,33,35,35,42,39,30,0,0,0,0
0,0,0,0,0,일반인,40,38,35,34,27,27,29,30,32,32,34,37,40,42,41,39,40,40,40,36,30,35,39,30
