,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
315,은평구,응암3동,23916,2467,6002,6999,2360910,0.054524167921057035,0.1437113229637063,0.270613815019234,0.24627864191336343,응암3동,25,0.0,5715.0,15.3
316,동대문구,이문1동,21364,1641,6654,4948,3000929,0.062441490357610936,0.3654278225051488,0.21494102228047182,0.15409099419584346,이문1동,27,1.0,4081.0,16.9
317,동대문구,이문2동,19988,1049,2385,6280,3137841,0.08089853912347408,0.14773864318591154,0.2630578347008205,0.21267760656393836,이문2동,10,1.0,5343.0,16.95
318,용산구,이촌1동,25578,1387,4107,9540,5974291,0.10626319493314568,0.10043787629994527,0.2882555320978966,0.17397763703182423,이촌1동,21,0.0,8907.0,18.68
319,용산구,이촌2동,7997,558,1183,3415,3596083,0.058646992622233336,0.1025384519194698,0.3076153557584094,0.2278354382893585,이촌2동,11,0.0,2709.0,22.03
320,용산구,이태원1동,7890,1871,6544,2198,3682946,0.04334600760456274,0.17249683143219266,0.35538656527249685,0.17541191381495563,이태원1동,15,1.0,2310.0,17.05
321,용산구,이태원2동,10263,1285,3282,3058,3261019,0.05417519243885803,0.143817597193803,0.36100555393159894,0.1844489915229465,이태원2동,21,0.0,2528.0,18.77
322,종로구,이화동,7566,1673,17365,2624,3024996,0.04493787998942638,0.25257731958762886,0.28720592122653976,0.18398096748612214,이화동,20,1.0,1714.0,13.56
323,강북구,인수동,29501,2226,6650,10128,2359990,0.06660791159621708,0.12280939629165114,0.25253381241313855,0.25226263516490965,인수동,49,0.0,7514.0,15.37
324,관악구,인헌동,25948,1609,4684,6849,2783693,0.05221982426391244,0.2320795437027902,0.3214120548789888,0.1623631879142901,인헌동,23,1.0,5909.0,14.95
325,강남구,일원1동,14806,1708,6381,4792,3022931,0.06794542752937999,0.13454005133054167,0.2875861137376739,0.23652573281102257,일원1동,15,0.0,4607.0,20.48
326,강남구,일원본동,22876,732,10021,7280,5444886,0.14294457072914846,0.09901206504633678,0.3009267354432593,0.15396048260185347,일원본동,27,1.0,8307.0,17.3
327,광진구,자양1동,22840,2303,9645,5398,2745988,0.06387915936952715,0.18152364273204905,0.3169877408056042,0.1674693520140105,자양1동,13,0.0,7654.0,14.82
328,광진구,자양2동,23995,2196,7033,7066,2999213,0.07101479474890603,0.13686184621796207,0.3080641800375078,0.18003750781412795,자양2동,14,0.0,8278.0,28.14
329,광진구,자양3동,27567,1922,7600,8582,4353416,0.08829397467987087,0.12866833532847244,0.29832771066855296,0.16915152174701636,자양3동,19,0.0,9386.0,20.43
330,광진구,자양4동,23303,2197,6234,4613,2795134,0.04454362099300519,0.19160623095738746,0.29107840192249923,0.17856070033901214,자양4동,12,1.0,5139.0,29.6
331,송파구,잠실2동,35016,1137,4639,11241,6352641,0.16709504226639252,0.09529929175234178,0.3251941969385424,0.1140335846470185,잠실2동,7,1.0,12195.0,23.65
332,송파구,잠실3동,34047,2115,8502,11046,5452682,0.11930566569741828,0.10394454724351632,0.2860163891091726,0.18398096748612214,잠실3동,26,0.0,12045.0,19.41
333,송파구,잠실4동,21242,633,1906,6866,6007987,0.1247528481310611,0.08709161095942002,0.32482817060540436,0.1469259015158648,잠실4동,9,2.0,10216.0,15.82
334,송파구,잠실6동,16631,3492,55275,5372,5237775,0.10384222235584151,0.1064878840719139,0.29198484757380794,0.18874391197161927,잠실6동,15,2.0,12281.0,22.73
335,송파구,잠실7동,9446,335,1259,3198,6014516,0.09559601947914462,0.118568706330722,0.2326910861740419,0.24433622697438068,잠실7동,4,2.0,3642.0,16.16
336,송파구,잠실본동,28233,4300,21755,9583,3079387,0.05376686855807034,0.17950625154960506,0.3748804590372968,0.1433428966103496,잠실본동,13,1.0,8851.0,16.59
337,서초구,잠원동,26982,3812,20974,11494,5458458,0.1259728708027574,0.12508338892595064,0.3087613964865466,0.13338521977614706,잠원동,24,1.0,9994.0,20.14
338,동대문구,장안1동,38147,6654,22326,11799,2863708,0.06708260151519123,0.13356227226256323,0.323223320313524,0.18499488819566415,장안1동,27,0.0,12984.0,18.68
339,동대문구,장안2동,32859,3956,12725,9852,2920490,0.08700812562768191,0.11515870842082838,0.3218600687787212,0.17273806263124258,장안2동,33,0.0,10665.0,15.65
340,성북구,장위1동,23708,1532,3104,6134,2231978,0.07415218491648388,0.1318542264214611,0.2875400708621562,0.18272313143242788,장위1동,33,0.0,6535.0,14.71
341,성북구,장위2동,13482,1538,3865,4120,2411293,0.058893339267171045,0.1375166889185581,0.2650200267022697,0.23891114078029965,장위2동,27,1.0,3290.0,14.98
342,성북구,장위3동,15800,877,2429,6078,3113825,0.08430379746835442,0.1261392405063291,0.3169620253164557,0.14474683544303799,장위3동,36,0.0,5084.0,14.84
343,송파구,장지동,28786,1968,9283,11732,3263464,0.08340860140346001,0.12460918502049607,0.3103592023900507,0.16869311470853887,장지동,43,1.0,10964.0,19.38
