Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
0,0,0,0,0,장애인,8,12,10,10,8,8,8,8,8,7,8,7,9,8,9,7,8,6,9,6,4,10,11,0
0,0,0,0,0,청소년,11,19,13,4,4,5,5,6,6,7,5,5,5,5,5,5,6,5,5,6,3,3,4,0
0,0,0,2023-12-09(토),맑음,경로,9,11,11,11,13,13,13,11,10,9,10,12,11,10,10,11,11,12,10,6,4,0,10,10
0,0,0,0,0,국가유공자,4,7,17,9,12,11,11,12,9,11,12,10,6,9,7,4,5,8,10,1,4,0,0,0
0,0,0,0,0,어린이,0,0,15,10,10,8,7,7,7,7,7,7,7,7,4,5,5,4,8,2,11,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,0,0,0
0,0,0,0,0,일반인,10,12,12,12,11,11,11,11,11,11,11,12,11,10,9,10,10,11,10,8,6,6,7,6
0,0,0,0,0,장애인,8,10,9,10,12,9,11,9,8,8,9,9,9,8,8,10,8,9,7,7,4,0,8,12
0,0,0,0,0,청소년,8,23,9,12,10,6,7,7,8,6,6,6,5,6,5,5,6,7,5,4,4,1,0,0
0,0,0,2023-12-10(일),맑음,경로,8,11,11,12,13,13,11,11,10,10,10,11,11,10,10,10,11,9,9,5,10,0,1,11
0,0,0,0,0,국가유공자,14,9,8,10,9,12,9,9,8,11,12,9,6,7,6,9,6,4,4,0,0,0,0,0
0,0,0,0,0,어린이,0,0,34,8,10,11,9,8,8,7,7,6,5,5,6,7,6,5,9,4,1,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,11,13,11,12,11,11,11,11,10,10,10,10,10,9,9,10,10,10,9,7,5,9,8,8
0,0,0,0,0,장애인,9,11,9,12,10,9,9,10,8,9,9,9,9,8,8,7,9,8,8,5,6,5,14,0
0,0,0,0,0,청소년,0,19,12,9,9,7,7,7,8,6,6,7,6,5,6,8,5,7,4,4,4,4,0,0
0,0,0,2023-12-11(월),강우,경로,10,11,11,11,9,10,10,9,8,8,9,10,10,10,9,10,10,8,9,6,6,0,1,12
0,0,0,0,0,국가유공자,10,5,13,13,8,15,16,14,15,13,16,18,18,9,9,6,6,11,4,6,0,5,0,0
0,0,0,0,0,어린이,0,8,1,9,4,5,4,3,3,5,3,3,2,3,3,3,3,4,6,5,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,2,14,5,34,0,4,0,15,14,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,11,14,15,14,11,10,10,10,10,9,9,9,10,11,10,9,9,9,8,8,7,11,10,8
0,0,0,0,0,장애인,8,11,11,10,8,8,8,8,7,6,8,8,8,9,8,8,6,6,6,7,5,0,6,0
0,0,0,0,0,청소년,0,15,13,5,11,5,5,7,5,4,5,4,4,5,4,4,4,4,3,4,5,2,1,0
0,0,0,2023-12-12(화),맑음,경로,10,11,11,11,10,10,10,10,9,8,9,10,10,10,9,10,11,9,9,8,6,26,16,11
0,0,0,0,0,국가유공자,12,7,11,14,11,12,15,16,15,13,16,17,19,12,9,7,5,3,3,7,1,5,0,0
0,0,0,0,0,어린이,38,0,1,9,5,7,7,8,4,4,3,4,3,4,3,3,6,3,4,5,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,4,16,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,11,13,15,14,11,11,10,10,10,9,9,9,10,11,10,9,9,10,9,8,7,10,11,9
0,0,0,0,0,장애인,7,10,11,10,9,8,10,8,8,7,9,8,9,8,7,8,8,8,7,5,7,0,9,4
0,0,0,0,0,청소년,14,19,13,5,10,7,5,7,6,6,6,5,4,5,5,4,4,4,5,5,5,0,0,0
0,0,0,2023-12-13(수),맑음,경로,9,11,11,11,10,10,10,10,9,8,9,10,10,9,9,9,10,9,9,8,5,6,6,11
0,0,0,0,0,국가유공자,13,9,11,13,9,14,16,16,15,13,17,18,14,14,8,5,5,9,5,5,0,7,0,0
0,0,0,0,0,어린이,0,35,6,11,4,8,8,9,6,4,4,3,3,3,3,3,4,6,3,13,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,14,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,11,14,15,14,11,11,10,10,10,9,9,9,11,11,10,9,9,9,9,8,6,11,10,9
0,0,0,0,0,장애인,8,10,11,10,9,8,9,8,7,8,7,8,8,9,8,8,7,8,7,8,7,19,13,10
0,0,0,0,0,청소년,0,21,13,5,10,7,6,6,6,6,5,5,5,5,5,5,4,4,5,6,7,6,2,0
0,0,0,2023-12-14(목),강우,경로,8,11,11,11,10,10,11,10,9,9,10,10,10,9,9,9,11,9,9,7,4,5,7,7
0,0,0,0,0,국가유공자,10,11,12,14,10,15,16,16,15,12,18,17,14,10,7,4,8,3,6,2,3,4,0,3
0,0,0,0,0,어린이,0,0,9,9,4,9,5,13,10,7,4,4,3,3,3,4,4,3,4,0,0,0,0,0
0,0,0,0,0,외국인,0,20,0,0,0,0,0,55,5,0,18,0,2,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,0,일반인,10,14,15,14,11,10,10,10,10,9,9,9,10,11,10,9,9,9,9,8,7,9,10,8
0,0,0,0,0,장애인,7,11,10,10,9,7,8,8,8,7,8,8,8,9,7,8,8,7,6,8,5,7,10,0
0,0,0,0,0,청소년,23,16,14,5,8,9,5,7,6,7,5,6,4,5,4,4,4,4,4,5,5,4,0,0
0,0,강북구,2023-12-01(금),맑음,경로,9,12,11,10,9,8,8,7,8,7,7,7,7,7,7,7,8,8,8,5,3,2,9,16
0,0,0,0,0,국가유공자,8,5,9,10,9,6,5,6,7,6,6,6,6,4,4,6,5,5,5,10,0,0,0,0
0,0,0,0,0,어린이,0,3,16,5,2,4,3,10,4,3,3,3,3,4,3,3,4,4,3,0,0,0,0,0
0,0,0,0,0,외국인,0,0,0,10,0,11,0,0,11,0,7,12,9,0,0,0,0,32,0,0,0,0,0,0
0,0,0,0,0,일반인,11,13,14,13,10,9,8,8,8,8,8,8,8,8,8,7,7,8,7,6,5,5,6,8
0,0,0,0,0,장애인,9,12,11,9,7,7,6,6,6,6,5,5,5,6,6,5,5,5,4,4,3,7,2,6
0,0,0,0,0,청소년,3,15,11,5,4,7,6,4,5,7,5,4,4,5,4,4,4,5,3,4,3,8,3,5
0,0,0,2023-12-02(토),맑음,경로,9,12,11,11,10,10,10,9,8,8,8,9,9,8,7,10,9,8,7,6,3,1,0,0
0,0,0,0,0,국가유공자,10,6,20,7,8,7,7,7,5,6,5,7,8,10,6,6,9,6,5,1,0,0,0,0
0,0,0,0,0,어린이,0,2,10,9,10,6,6,6,5,5,4,5,5,4,4,4,5,4,5,5,2,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,14,11,0,9,14,13,15,12,13,0,0,12,0,0,0,0,0,0
0,0,0,0,0,일반인,12,13,12,11,10,10,10,9,9,9,9,9,9,8,7,7,8,8,8,6,4,5,7,6
0,0,0,0,0,장애인,9,10,12,9,10,8,7,7,6,6,7,7,7,6,6,6,7,7,7,3,3,2,7,0
