Column1,행정구,행정동,인구수,age_10,age_20,age_3040,노약자,사업체수,종사자수,집개수,소득,버스정류장개수,지하철역개수,도로평균속도,1인당자동차등록대수,시내버스노선수,버스승차량
148,관악구,보라매동,24392,0.05444408,0.190636274,0.301205313,0.198261725,2025,6990,6221,2529995,25,1,14.73,0.253648737,45,2805875
149,성북구,보문동,16680,0.061151079,0.173081535,0.315227818,0.15881295,1787,6720,4580,3162623,9,2,17.36,0.275059952,38,2244539
150,종로구,부암동,9443,0.090119665,0.133643969,0.286561474,0.196441809,894,3762,3070,3647449,34,0,19.05,0.332521444,83,3475730
151,서대문구,북가좌1동,17709,0.107346547,0.107741826,0.291433734,0.18069908,1490,3745,6089,4005416,12,0,16.62,0.41645491,87,2210718
152,서대문구,북가좌2동,31111,0.070168108,0.143357655,0.277040275,0.216515059,2743,6468,10603,2590646,36,0,14.67,0.273697406,98,3806491
153,서대문구,북아현동,15796,0.063307166,0.128386933,0.342618384,0.151557356,1154,2656,5298,4172659,16,0,17.98,0.283552798,52,2461948
154,은평구,불광1동,37826,0.063421985,0.126394543,0.283085708,0.216834981,2408,7000,13601,3182963,38,1,14.1,0.276608682,184,6495015
155,은평구,불광2동,27073,0.054630074,0.143242345,0.270453958,0.234587966,1924,4933,8970,2396457,26,1,15.83,0.239500609,111,3790699
156,성동구,사근동,14048,0.065845672,0.460421412,0.20785877,0.110051253,1310,10537,3183,3099614,40,2,21.67,0.160165148,41,1923875
157,동작구,사당1동,22954,0.03563649,0.227106387,0.339200139,0.173259563,2463,10779,5780,2855173,12,3,13.1,0.238433389,78,2996837
158,동작구,사당2동,28517,0.062629309,0.123820879,0.304555178,0.209699478,2159,6817,8341,3884988,30,3,20.06,0.290773924,105,5015070
159,동작구,사당3동,24038,0.066810883,0.128920875,0.306057076,0.200599052,1470,4960,7759,3890035,27,0,15.58,0.295074465,25,2113642
160,동작구,사당4동,14073,0.047893129,0.17238684,0.311660627,0.204647197,963,2159,4080,2844168,4,1,14.96,0.249626945,7,422821
161,동작구,사당5동,14293,0.06415728,0.143146995,0.332540404,0.17547051,910,2034,3515,3047661,24,0,19.7,0.294060029,20,1339651
162,종로구,사직동,9326,0.071734935,0.116448638,0.319429552,0.199549646,5035,56013,2778,5007768,31,2,19.12,0.876045464,173,9418793
163,강북구,삼각산동,30817,0.124379401,0.106175163,0.292922737,0.158224357,1405,2949,11376,3734477,22,0,16.59,0.304312555,51,2550482
164,성북구,삼선동,22875,0.07589071,0.200655738,0.273748634,0.180415301,2507,11157,6987,3057377,38,3,14.82,0.252371585,66,7484470
165,강남구,삼성1동,12584,0.092657343,0.128973299,0.304593134,0.180705658,7353,73562,4595,5098096,30,2,19.42,0.670057216,203,7176369
166,강남구,삼성2동,30776,0.115382116,0.1236353,0.35654406,0.129841435,6267,48407,10178,5055114,21,2,15.56,0.402976345,99,4224160
167,관악구,삼성동,20265,0.056698742,0.110387367,0.238341969,0.277473476,1368,3064,7833,2593695,30,0,17.55,0.290352825,73,3269975
168,강북구,삼양동,22751,0.072084744,0.126499934,0.256516197,0.226319722,1562,4104,7808,2473211,29,3,16.08,0.260296251,41,2059098
169,송파구,삼전동,29574,0.060999527,0.16602421,0.377358491,0.14651383,2884,12315,11497,2779980,14,0,15.53,0.29847163,45,2588402
170,종로구,삼청동,2495,0.080160321,0.102204409,0.289378758,0.250501002,956,4978,730,3442534,17,0,18.28,0.311422846,20,1646363
171,노원구,상계10동,18274,0.082029112,0.126299661,0.311261902,0.16394878,818,2515,6422,3132098,24,0,19.91,0.293422349,118,2302990
172,노원구,상계1동,37267,0.079587839,0.124131269,0.259800896,0.210400623,3934,11608,13410,3030316,29,1,22.81,0.370059302,86,2538081
173,노원구,상계2동,19405,0.083122906,0.15542386,0.244988405,0.189538779,3325,11074,6042,3122902,26,1,14.85,0.311311518,74,4168483
174,노원구,상계3.4동,27469,0.075867341,0.112708872,0.249663257,0.237904547,1849,4821,9292,2644186,18,0,21.83,0.293494485,65,725664
175,노원구,상계5동,23222,0.075015072,0.127852898,0.244681767,0.231633796,2755,6516,7347,2481440,29,1,15.72,0.25445698,39,1708640
176,노원구,상계6.7동,31717,0.085253965,0.129047514,0.304158653,0.170949333,2685,18222,13648,3152836,30,0,19.79,0.283002806,132,4142578
177,노원구,상계8동,21919,0.080204389,0.110178384,0.381039281,0.144304028,824,1943,9090,3153561,13,1,34.52,0.296683243,31,942143
178,노원구,상계9동,19800,0.088282828,0.122323232,0.288181818,0.194141414,1036,2848,8260,2955988,19,0,18.28,0.292575758,35,1286641
179,동작구,상도1동,46534,0.073516139,0.252696953,0.258757038,0.16413805,2616,9396,14737,3875896,44,2,15.12,0.26758929,131,10185644
180,동작구,상도2동,27875,0.073399103,0.149130045,0.323587444,0.161147982,1855,5790,9039,3826699,36,1,15.69,0.293883408,61,3802446
181,동작구,상도3동,24374,0.058751128,0.173422499,0.297981456,0.196602938,1613,3766,7246,2575897,33,0,7.4,0.23336342,24,2962321
182,동작구,상도4동,28194,0.063027595,0.154004398,0.305774278,0.195821806,1614,3516,8275,2563258,33,0,14.9,0.243988083,23,2377621
183,중랑구,상봉1동,23455,0.075506289,0.12862929,0.288552547,0.180089533,1952,6705,7937,2969913,13,2,18.43,0.343594116,60,1011173
184,중랑구,상봉2동,20673,0.032602912,0.204276109,0.354713878,0.153581967,3344,9431,6146,2575432,18,1,19.84,0.258936777,173,6120442
185,마포구,상암동,30487,0.126742546,0.140781317,0.296618231,0.144520615,4109,51381,9956,4158486,96,2,21.58,0.370321776,363,10045483
186,강동구,상일동,51284,0.119735106,0.088577083,0.336344261,0.129757434,2154,21013,10472,3690212,58,0,17.24,0.218586694,204,4262607
187,마포구,서강동,25371,0.114386792,0.132496631,0.292958221,0.164504717,2846,10812,8454,4339738,63,2,17.14,0.302077175,33,2106819
188,마포구,서교동,26369,0.0687399,0.206574435,0.315833038,0.134366008,13024,61160,9189,3212258,79,5,15.28,0.320110736,347,17781562
189,관악구,서림동,24598,0.0434222,0.28393189,0.351094088,0.128067048,1644,3444,5152,2530625,23,1,17.53,0.223066916,84,3764848
190,용산구,서빙고동,13357,0.043946662,0.258232377,0.331937556,0.154646719,777,6126,4268,4208562,24,1,20.91,0.352624092,64,2526054
191,관악구,서원동,23770,0.111252527,0.122782062,0.297447032,0.163135435,1911,8436,5454,2412001,21,2,13.28,0.214009255,82,7572081
192,서초구,서초1동,20526,0.033066891,0.289903239,0.331762726,0.145687842,5686,42507,6735,4769119,35,1,16.56,0.833576927,94,2934375
193,서초구,서초2동,26451,0.092565527,0.136120043,0.340397545,0.157312677,8772,71566,6901,5196131,45,2,15.51,0.383236929,340,6770853
194,서초구,서초3동,32381,0.091376508,0.140750822,0.376091641,0.128539564,12046,84922,10040,4678950,74,3,15.65,0.469966956,196,7734913
195,서초구,서초4동,30554,0.08471017,0.164540934,0.320064235,0.158765943,4302,31706,9224,6475383,42,0,16.23,0.386365124,170,4437269
196,성북구,석관동,34940,0.13602147,0.113176671,0.298127905,0.145545591,3072,8770,10472,2864182,29,2,20.18,0.279107041,103,3599350
197,송파구,석촌동,31530,0.059616485,0.145220378,0.274212936,0.219834001,4113,17243,12091,2927911,19,3,17.97,0.313764669,158,4181768
198,강동구,성내1동,19658,0.052457977,0.164161116,0.371297177,0.154995243,3082,17417,6767,3438376,21,1,15.47,0.42267779,55,1886566
199,강동구,성내2동,23620,0.082714417,0.128293824,0.321599349,0.168633635,2617,7288,6199,2824592,18,2,19.32,0.271295512,56,2122605
200,강동구,성내3동,22798,0.045215919,0.160668925,0.316850127,0.198687553,3220,9494,6685,2897346,15,0,15.27,0.305991754,38,1673683
201,성북구,성북동,16606,0.066891833,0.148346346,0.298929731,0.187165541,1790,6288,5605,3470748,46,0,19.49,0.287907985,71,4945120
202,마포구,성산1동,18971,0.067385282,0.162290738,0.300192701,0.188184993,2506,11135,6662,2814646,26,0,18.14,0.331400559,78,3007713
203,마포구,성산2동,39141,0.068683781,0.165463075,0.338042275,0.165410363,3376,13659,13092,3521472,40,2,19.37,0.292327738,142,4387145
204,성동구,성수1가1동,15812,0.076467132,0.172504535,0.319971386,0.167471449,2982,14473,4897,3870717,32,1,25.6,0.657538578,65,1883742
205,성동구,성수1가2동,12221,0.058879332,0.145395902,0.317670124,0.154060207,4784,26199,3689,3263294,12,1,20.7,0.553064397,48,1248380
206,성동구,성수2가1동,15131,0.063169953,0.14900581,0.34121594,0.167171263,3557,20402,4288,2900762,30,0,21.99,0.527460181,74,2017695
207,성동구,성수2가3동,10365,0.049434935,0.131055449,0.296146983,0.198731082,8853,63385,2944,3358391,21,1,14.56,0.673516643,39,2090574
208,관악구,성현동,28582,0.047949831,0.171152918,0.314230584,0.1815726,1328,3238,10578,3455108,29,0,15.65,0.291197257,47,3266974
209,강남구,세곡동,45828,0.092610734,0.129522077,0.279056749,0.199076342,2466,9881,12596,3885403,66,0,19.16,0.419917954,329,5626415
210,중구,소공동,3512,0.110958366,0.118137383,0.331631317,0.15767653,5107,64308,685,5380521,36,3,15.41,1.188496583,262,10475696
211,성동구,송정동,10221,0.084851936,0.095387244,0.444476082,0.095387244,1005,2879,2331,2566462,13,0,23.13,0.27208688,21,1076636
212,강북구,송중동,29486,0.050386459,0.157714509,0.295372273,0.186772331,3022,8752,8803,2555447,57,0,15.6,0.237366886,115,11826686
