정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Column1
명동입구,~,5000B,명지대 - 명지대,2023-12-18(월),일반인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,9,0,43,1,80,0,46,0,47,0,31,0,33,0,13,0,1,1,0,0,0,0,0,0,
명동입구,~,5000B,명지대 - 명지대,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,7,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,
명동입구,~,5000B,명지대 - 명지대,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
명동입구,~,5000B,명지대 - 명지대,2023-12-18(월),장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5000B,명지대 - 명지대,2023-12-18(월),국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5005,명지대 - 명지대,2023-12-18(월),일반인,0,0,0,0,3,0,9,0,7,0,7,0,5,2,14,0,9,0,17,1,11,1,14,1,15,0,44,1,0,0,59,0,21,0,30,0,22,0,12,0,7,0,0,0,0,0,0,0,
명동입구,~,5005,명지대 - 명지대,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5005,명지대 - 명지대,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5005,명지대 - 명지대,2023-12-18(월),장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5007,광교차고지 - 광교차고지,2023-12-18(월),일반인,0,0,0,0,2,0,3,0,0,0,4,0,1,0,1,0,5,0,2,0,10,1,4,0,8,0,20,0,39,0,25,0,12,0,7,0,15,0,1,0,0,0,0,0,0,0,0,0,
명동입구,~,5007,광교차고지 - 광교차고지,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5500-2,광교차고지 - 광교차고지,2023-12-18(월),일반인,0,0,0,0,1,0,1,0,2,0,2,0,4,0,1,0,4,0,12,0,21,0,13,0,23,0,53,0,88,0,56,1,49,0,37,0,22,0,14,0,1,0,0,0,0,0,0,0,
명동입구,~,5500-2,광교차고지 - 광교차고지,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
명동입구,~,5500-2,광교차고지 - 광교차고지,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,8100,단국대.치과병원 - 단국대.치과병원,2023-12-18(월),일반인,0,0,0,0,7,0,33,0,18,1,21,0,8,0,16,0,16,1,13,0,17,0,16,4,27,0,35,0,65,1,54,2,66,0,41,2,39,0,17,0,0,0,0,0,0,0,0,0,
명동입구,~,8100,단국대.치과병원 - 단국대.치과병원,2023-12-18(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,8100,단국대.치과병원 - 단국대.치과병원,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,8100,단국대.치과병원 - 단국대.치과병원,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,8800,수원버스터미널 - 수원버스터미널,2023-12-18(월),일반인,0,0,0,0,4,1,8,0,10,0,5,0,5,0,5,0,13,0,14,0,13,0,17,1,27,0,41,0,35,0,47,2,51,0,36,0,55,1,17,1,4,0,0,0,0,0,0,0,
명동입구,~,8800,수원버스터미널 - 수원버스터미널,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,8800,수원버스터미널 - 수원버스터미널,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
명동입구,~,8800,수원버스터미널 - 수원버스터미널,2023-12-18(월),국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9000,성우스타우스 - 낙생농협,2023-12-18(월),일반인,0,0,0,0,1,0,8,0,0,0,4,0,0,0,2,0,3,0,4,0,5,0,11,0,5,0,24,0,24,0,26,0,10,2,20,1,12,0,3,0,9,0,3,0,0,0,0,0,
명동입구,~,9000,성우스타우스 - 낙생농협,2023-12-18(월),청소년,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9000,성우스타우스 - 낙생농협,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9000-1,단국대학교.죽전야외음악당.성현마을2단지 - 구미동차고지,2023-12-18(월),일반인,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9003,운중동먹거리촌 - 한국학중앙연구원,2023-12-18(월),일반인,0,0,2,0,2,1,9,0,5,0,5,0,2,0,4,0,2,0,8,0,10,0,7,0,6,0,19,1,78,1,36,0,23,0,15,0,13,0,6,0,0,0,0,0,0,0,0,0,
명동입구,~,9003,운중동먹거리촌 - 한국학중앙연구원,2023-12-18(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9003,운중동먹거리촌 - 한국학중앙연구원,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9003,운중동먹거리촌 - 한국학중앙연구원,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9200,위례중학교.엠코타운센트로엘 - 위례중학교.엠코타운센트로엘,2023-12-18(월),일반인,0,0,0,0,1,0,8,0,13,0,2,0,1,1,1,0,2,0,4,0,7,0,5,1,6,0,22,0,31,0,17,2,26,0,16,0,9,0,8,0,0,0,0,0,0,0,0,0,
명동입구,~,9200,위례중학교.엠코타운센트로엘 - 위례중학교.엠코타운센트로엘,2023-12-18(월),어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9200,위례중학교.엠코타운센트로엘 - 위례중학교.엠코타운센트로엘,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9200,위례중학교.엠코타운센트로엘 - 위례중학교.엠코타운센트로엘,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,9300,도촌동9단지앞 - 도촌동9단지앞,2023-12-18(월),일반인,0,0,0,0,4,0,4,1,10,0,8,0,2,0,1,0,2,0,6,0,6,0,7,0,14,0,35,0,41,0,38,0,33,0,25,0,18,1,10,0,1,0,0,0,0,0,0,0,
명동입구,~,9300,도촌동9단지앞 - 도촌동9단지앞,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
